COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
9848300%,ASPERGILLUS/ALOE VERA LEAF FERMENT FILTRATE,,, , ,Aspergillus/Aloe Vera Leaf Ferment Filtrate is a filtrate of the product obtained by the fermentation of the leaves of Aloe vera by the microorganism Aspergillus. ,,HAIR CONDITIONING,4395100%
9337100%,ASPERGILLUS/AMARANTHUS HYPOCHONDRIACUS SEED FERMENT FILTRATE,,, , ,"Aspergillus/Amaranthus Hypochondriacus Seed Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of  Amaranthus hypochondriacus  by the microorganism,  Aspergillus. ",,HUMECTANT,4244600%
9740500%,ASPERGILLUS/ANGELICA TENUISSIMA ROOT EXTRACT FERMENT EXTRACT,,, , , Aspergillus/Angelica Tenuissima Root Extract Ferment Extract is the extract of the product obtained by the fermentation of Angelica Tenuissima Root Extract by the microorganism Aspergillus.,,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",4374900%
9615800%,ASPERGILLUS/ANGELICA TENUISSIMA ROOT EXTRACT FERMENT FILTRATE,,, , ,"Aspergillus/Angelica Tenuissima Root Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of Angelica Tenuissima Root Extract by the microorganism, Aspergillus.",,SKIN CONDITIONING,4320700%
9478300%,ASPERGILLUS/ANGELICA TENUISSIMA ROOT FERMENT EXTRACT,,, , ,"Aspergillus/Angelica Tenuissima Root Ferment Extract is the extract of the product obtained by the fermentation of the roots of  Angelica tenuissima,  by the microorganism  Aspergillus",,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",4300700%
8700500%,ASPERGILLUS/APRICOT KERNEL/ARTEMISIA ANNUA/AQUILARIA AGALLOCHA STEM/ELETTARIA CARDAMOMUM SEED/CORDYCEPS SINENSIS/HERICIUM ERINACEUM/POLYPORUS UMBELLATUS/WHEAT FLOUR/XANTHIUM STRUMARIUM FRUIT FERMENT EXTRACT FILTRATE,,, -, -,"This is a filtrate of the extract of the product obtained by the fermentation of the kernels of Prunus armeniaca (apricot), the stems of Aquillaria agallocha, the seeds of Elettaria cardamomum, the mushroom Hericium erinaceum, the whole plants: Artemisia annua, Cordyceps sinensis, Polyporus umbellatus, the fruit of Xanthium strumarium, and Tritium Vulgare (Wheat) Flour by the microorganism, Aspergillus",,SKIN CONDITIONING - EMOLLIENT,4046600%
7434200%,ASPERGILLUS/ASPIDOSPERMA QUEBRACHO FERMENT,,, , ,Aspergillus/Aspidosperma Quebracho Ferment is the product of the fermentation of Aspidosperma quebracho by Aspergillus,,SKIN CONDITIONING,4046600%
9555100%,ASPERGILLUS/ASTRAGALUS SINICUS SEED/RICE FERMENT FILTRATE,,, , ,"Aspergillus/Astragalus Sinicus Seed/Rice Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of  Astragalus sinicus  and the grains of  Oryza sativa  (rice) by the microorganism,  Aspergillus",,SKIN CONDITIONING,4300700%
8692300%,ASPERGILLUS/BACILLUS/LACTOBACILLUS/LACTOCOCCUS/SACCHAROMYCES/CARCIA PAPAYA FRUIT/CLADOSIPHON OKAMURANUS/LAMINARIA JAPONICA/RICE BRAN/RICE FERMENT EXTRACT FILTRATE,,, -, -,"Aspergillus/Bacillus/Lactobacillus/Lactococcus/Saccharomyces/Carcia Papaya Fruit/Cladosiphon Okamuranus/Laminaria Japonica/Rice Bran/Rice Ferment Extract Filtrate is a filtrate of the extract of the product obtained by the fermentation of the fruit of Carica papaya, the whole plant, Cladosiphon okamuranus, the alga, Laminaria japonica. The bran and grain of Oryza sativa (rice), by the microorganisms, Aspergillus, Bacillus, Lactobacillus, Lactococcus and Saccharomyces",,SKIN CONDITIONING,4046600%
9433700%,ASPERGILLUS/BIFIDOBACTERIUM/LACTOBACILLUS/SACCHAROMYCES/STREPTOCOCCUS /RHIZOME/(ARCTIUM LAPPA/CARROT/DANDELION/ELEUTHERO/EURYCOMA LONGIFOLIA/LEPIDIUM MEYENII/LICORICE/PANAX GINSENG/PANAX NOTOGINSENG/PLATYCODON GRANDIFLORUM/SALACIA RETICULATA ROOT)/(PANAX GINSENG/GINGER/POLYGONATUM ODORATUM ROOT/STEM)/(CASSIA OBTUSIFOLIA/JOB'S TEARS SEED)/(COMMELINA COMMUNIS/CORCHORUS OLITORIUS SPROUT)/SAMBUCUS SIEBOLDIANA STEM/GLOIOPELTIS TENAX/LAMINARIA JAPONICA/ARTEMISIA PRINCEPS/CASSIA OBTUSIFOLIA/EQUISETUM ARVENSE/GLECHOMA HEDERACEA/GYNOSTEMMA PENTAPHYLLUM/HYPERICUM ERECTUM/ISODON JAPONICUS/NANDINA DOMESTICA/PLANTAGO ASIATICA/VIGNA RADIATA EXTRACT FERMENT FILTRATE,,, , ,"This is a filtrate of the product obtained by the fermentation of the bark of  Mallotus japonicus  , and  Uncaria tomentosa  ; the branches and stems of  Acer nikoense  ; the bulbs of  Allium cepa  (onion), and  Allium sativum  (garlic); the flowers of  Carthamus tinctorius  (safflower), and  Chamomilla recutita  (matricaria); the flowers, leaves and stems of  Andrographis paniculata  and  Tetragonia tetragonoides  ; the fruits of  Actinidia polygama  ,  Ananas comosus  ,  Capsicum annuum  ,  Chaenomeles sinensis  ,  Citrus limon  (lemon),  Citrus paradisi  (grapefruit),  Citrus unshiu  ,  Cucumis melo  (melon),  Emblica officinalis  ,  Ficus carica  (fig),  Fortunella margarita  ,  Lycium barbarum  ,  Momordica grosvenorii  ,  Prunus armeniaca  (apricot),  Prunus mume  (mume),  Pyrus malus  (apple),  Vitis vinifera  (grape), and  Zizyphus jujuba  ; the fruiting bodies of  Agaricus blazei  ,  Ganoderma lucidum  , and  Lentinula edodes  ; the leaves of  Aloe arborescens  ,  Aspalathus linearis  ,  Brassica oleracea capitata  (cabbage),  Carum petroselinum  (parsley),  Diospyros kaki  ,  Eriobotrya japonica  ,  Eucommia ulmoides  ,  Ficus carica  (fig),  Ginkgo biloba  ,  Houttuynia cordata  ,  Lycium chinense  ,  Morus alba  ,  Perilla frutescens  ,  Prunus persica  (peach), and  Sasa veitchii  ; the leaves and seeds of  Pinus densiflora  ; the leaves and stems of  Lonicera japonica  (honeysuckle); the peel of  Allium cepa  (onion); ",,HUMECTANT,4269000%
8724600%,ASPERGILLUS/BUCKWHEAT FERMENT EXTRACT,,, -, -,"Aspergillus/Buckwheat Ferment Extract is the extract of the product obtained by the fermentation of Buckwheat, Polygonum fagopyrum L., Polygonaceae by the microorganism, Aspergillus ",,ANTIOXIDANT,4046600%
9882700%,ASPERGILLUS/CALENDULA OFFICINALIS FLOWER/HYDROLYZED RICE/OCIMUM TENUIFLORUM LEAF FERMENT FILTRATE,,, , ,Aspergillus/Calendula Officinalis Flower/Hydrolyzed Rice/Ocimum Tenuiflorum Leaf Ferment Filtrate,,SKIN CONDITIONING - EMOLLIENT,4411200%
9170000%,ASPERGILLUS/CAMELLIA JAPONICA SEED FERMENT EXTRACT FILTRATE,,, , ,"Aspergillus/Camellia Japonica Seed Ferment Extract Filtrate is the filtrate of an extract of the product obtained by the fermentation of the seeds of Camellia japonica by the microorganism, Aspergillus. ",,SKIN CONDITIONING,4197600%
8848000%,ASPERGILLUS/CAMELLIA SINENSIS LEAF EXTRACT FERMENT FILTRATE ,,, -, -,"Aspergillus/Camellia Sinensis Leaf Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of Camellia Sinensis Leaf Extract (q.v.) by the microorganism, Aspergillus",,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING",4087700%
8724700%,ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT ,,, -, -,"Aspergillus/Camellia Sinensis Leaf Ferment Extract is the extract of the product obtained by the fermentation of the leaves of Camellia sinensis (L.), Theaceae by the microorganism, Aspergillus",,"ANTIMICROBIAL, ANTIOXIDANT",4046600%
8378200%,ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT FILTRATE,,, -, -,"Aspergillus/Camellia Sinensis Leaf Ferment Extract Filtrate is a filtrate of the product obtained by the fermentation of Camellia Sinensis Leaf Extract by the microorganism, Aspergillus",,SKIN CONDITIONING,4046600%
9659500%,ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT POWDER,,, , ," Aspergillus/Camellia Sinensis Leaf Ferment Powder is the dried, ground powder of the product obtained by the fermentation of the leaves of Camellia sinensis by the microorganism Aspergillus. ",,"ANTIOXIDANT, ANTIPLAQUE",4355300%
9415400%,ASPERGILLUS/CANDIDA UTILIS/LACTOBACILLUS/MUCOR HIEMALIS/RHODOBACTER/RHODOPSEUDOMONAS/ SACCHAROMYCES/STREPTOCOCCUS LACTIS/STREPTOMYCES ALBUS/STREPTOMYCES GRISEUS/LEMON FRUIT/MOLASSES FERMENT FILTRATE,,, , ,"This is a filtrate of the product obtained by the fermentation of the fruit of  Citrus Limon  and Molasses (q.v.) by the microorganisms,  Aspergillus  ,  Candida utilis  ,  Lactobacillus  ,  Mucor hiemalis  ,  Rhodobacter  ,  Rhodopseudomonas  ,  Saccharomyces  ,  Streptococcus lactis  ,  Streptomyces albus  , and  Streptomyces griseus. ",,ANTIOXIDANT,4251500%
5454500%,ASPERGILLUS/CASTANEA CRENATA PELLICLE FERMENT EXTRACT,,, -, -,"Aspergillus/Castanea Crenata Pellicle Ferment Extract is an extract of the product obtained by the fermentation of the pellicle of Castanea crenata by the microorganism, Aspergillus",,"HAIR CONDITIONING, SKIN CONDITIONING",4049500%
8313600%,ASPERGILLUS/CASTANEA CRENATA PELLICLE FERMENT EXTRACT FILTRATE ,,, -, -,"Aspergillus/Castanea Crenata Pellicle Ferment Extract Filtrate is a filtrate of an extract of the product obtained by the fermentation of Castanea crenata pellicle by the microorganism, Aspergillus",,"HAIR CONDITIONING, SKIN CONDITIONING",4046600%
9339000%,ASPERGILLUS/CENTELLA ASIATICA LEAF/STEM EXTRACT/SWIFTLET NEST EXTRACT FERMENT FILTRATE,,, , ,"Aspergillus/Centella Asiatica Leaf/Stem Extract/Swiftlet Nest Extract Ferment Filtrate is the filtrate of the product obtained by the fermentation of the leaves and stems of  Centella asiatica  and Swiftlet Nest Extract by the microorganism,  Aspergillus.  ",,"ANTIOXIDANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING",4244600%
9740100%,ASPERGILLUS/CHAMAECRISTA NOMAME (FRUIT/FRUIT JUICE/LEAF/SEED)/RICE FERMENT FILTRATE,,, , ,"Aspergillus/Chamaecrista Nomame (Fruit/Fruit Juice/Leaf/Seed)/Rice Ferment Filtrate is a filtrate of the product obtained by the fermentation of the fruit, fruit juice, leaves, and seeds of Chamaecrista nomame and the grains of Oryza sativa by the microorganism Aspergillus. ",,SKIN CONDITIONING,4374900%
9798600%,ASPERGILLUS/CHAMAECRISTA NOMAME (LEAF/STALK)/RICE FERMENT FILTRATE,,, , ,Aspergillus/Chamaecrista Nomame (Leaf/Stalk)/Rice Ferment Filtrate is a filtrate of the product obtained by the fermentation of the leaves and stalks of Chamaecrista nomame and the grains of Oryza sativa by the microorganism Aspergillus. ,,SKIN CONDITIONING,4395100%
9867500%,ASPERGILLUS/CITRUS RETICULATA × SINENSIS FRUIT/RICE/STRAWBERRY FRUIT FERMENT FILTRATE,,, , ,Aspergillus/Citrus Reticulata × Sinensis Fruit/Rice/Strawberry Fruit Ferment Filtrate,,SKIN CONDITIONING - MISCELLANEOUS,4411200%
9538600%,ASPERGILLUS/COFFEE SEED/RICE FERMENT FILTRATE,,, , ,"Aspergillus/Coffee Seed/Rice Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of  Coffea arabica  and the grains of  Oryza sativa  (rice) by the microorganism,  Aspergillus.",,SKIN CONDITIONING,4300700%
8393500%,ASPERGILLUS/DEFATTED RICE BRAN/ALCOHOL/BORNEOL FERMENT FILTRATE,,, -, - ,"Aspergillus/Defatted Rice Bran/Alcohol/Borneol Ferment Filtrate is a filtrate of the product obtained by the fermentation of Defatted Rice Bran, Alcohol and Borneol by the microorganism, Aspergillus",,SKIN CONDITIONING,4046600%
9693800%,ASPERGILLUS/DEFATTED SOYBEAN SEED FERMENT EXTRACT,,, , ,Aspergillus/Defatted Soybean Seed Ferment Extract is the extract of the product obtained by the fermentation of the defatted seeds of Glycine max by the microorganism Aspergillus.,,"ANTIMICROBIAL, BUFFERING, HUMECTANT, PRESERVATIVE",4355300%
9077300%,ASPERGILLUS/DEFATTED SOYBEAN SEED FERMENT EXTRACT FILTRATE,,, , ," Aspergillus/Defatted Soybean Seed Ferment Extract Filtrate is a filtrate of the extract of the product obtained by the fermentation of defatted Glycine Soja (Soybean) Seed by the microorganism, Aspergillus. 
",,"HUMECTANT, SKIN CONDITIONING",4139400%
9703900%,ASPERGILLUS/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/RICE BRAN FERMENT FILTRATE,,, , ,"Aspergillus/Enterococcus Faecium/Lactobacillus/Rice Bran Ferment Filtrate is a filtrate of the product obtained by the fermentation of the bran of Oryza sativa by the microorganisms, Aspergillus, Enterococcus faecium and Lactobacillus.",,SKIN CONDITIONING,4355300%
9583500%,ASPERGILLUS/FERMENT FILTRATE,,, , ," Aspergillus Ferment Extract Filtrate is a filtrate of the extract of the product obtained through fermentation by the microorganism, Aspergillus. ",,NOT REPORTED,4320700%
9502900%,ASPERGILLUS/GARLIC BULB/RICE BRAN/RICE VINEGAR FERMENT,,, , ,"Aspergillus/Garlic Bulb/Rice Bran/Rice Vinegar Ferment is the product obtained by the fermentation of the bulbs of  Allium sativum  (garlic), the bran of  Oryza sativa  (rice) and rice vinegar by the microorganism,  Aspergillus",,"HUMECTANT, SKIN CONDITIONING",4300700%
8676500%,ASPERGILLUS/GARLIC/RICE BRAN/VINEGAR FERMENT,,, -, -,"Aspergillus/Garlic/Rice Bran/Vinegar Ferment is the product of the fermentation of Oryza Sativa (Rice) Bran, garlic and Vinegar by the microorganism, Aspergillus",,SKIN CONDITIONING - EMOLLIENT,4046600%
9483100%,ASPERGILLUS/GELATIN/RICE FERMENT FILTRATE,,, , ,"Aspergillus/Gelatin/Rice Ferment Filtrate is a filtrate of the product obtained from the fermentation of Gelatin and the grains of  Oryza sativa  (rice) by the microorganism,  Aspergillus",,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4300700%
5454600%,ASPERGILLUS/GLUCOSE/SOYBEAN/STARCH FERMENT FILTRATE,,, , ,"Aspergillus/Glucose/Soybean/Starch Ferment Filtrate is a filtrate of the fermentation product of glucose, soybean and starch by the microorganism, Aspergillus",,ORAL CARE,4046600%
9518100%,ASPERGILLUS/HIPPOPHAE RHAMNOIDES SEED FERMENT FILTRATE,,, , ,"Aspergillus/Hippophae Rhamnoides Seed Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of Hippophae rhamnoides, by the microorganism Aspergillus oryzae. ",,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING",4311200%
9590600%,ASPERGILLUS/HYDROLYZED COLLAGEN FERMENT FILTRATE,,, , ,"Aspergillus/Hydrolyzed Collagen Ferment Filtrate is a filtrate of the product obtained by the fermention of Hydrolyzed Collagen by the microorganism, Aspergillus",,SKIN CONDITIONING,4320700%
9831900%,ASPERGILLUS/HYDROLYZED CORN STARCH FERMENT FILTRATE,,, , ,Aspergillus/Hydrolyzed Corn Starch Ferment Filtrate is a filtrate of the product obtained by the fermentation of Hydrolyzed Corn Starch by the microorganism Aspergillus. ,,SKIN CONDITIONING,4395100%
8836900%,ASPERGILLUS/HYDROLYZED PRUNUS MUME SEED FERMENT EXTRACT,,, -, -,"Aspergillus/Hydrolyzed Prunus Mume Seed Ferment Extract is the extract of the product obtained by the fermentation of the hydrolysate of the seeds of Prunus mume by the microorganism, Aspergillus. 
",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4087700%
9495600%,ASPERGILLUS/LACTOBACILLUS/APHANIZOMENON FLOS-AQUAE/RICE SEED EXTRACT FERMENT FILTRATE,,, , ,"Aspergillus/Lactobacillus/Aphanizomenon Flos-Aquae/Rice Seed Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of Aphanizomenon Flos-Aquae Extract and the extract of the seeds of  Oryza sativa  by the mircroorganisms,  Aspergillus  and  Lactobacillus. ",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4300700%
8657400%,ASPERGILLUS/LACTOBACILLUS/ASTRAGALUS MEMBRANACEUS ROOT EXTRACT FERMENT FILTRATE,,, -, -,"Aspergillus/Lactobacillus/Astragalus Membranaceus Root Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of Astragalus Membranaceus Root Extract  by the microorganisms, Aspergillus and Lactobacillus",,SKIN CONDITIONING,4046600%
8940900%,ASPERGILLUS/LACTOBACILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT,,, , ,"Aspergillus/Lactobacillus/Camellia Sinensis Leaf Ferment Extract is the extract of the product obtained by the fermentation of the leaves of Camellia sinensis by the microorganisms, Aspergillus and Lactobacillus, Theaceae.",,SKIN CONDITIONING,4119000%
9414800%,ASPERGILLUS/LACTOBACILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT FILTRATE,,, , ,"Aspergillus/Lactobacillus/Camellia Sinensis Leaf Ferment Extract Filtrate is a filtrate of the extract of the product obtained by the fermentation of the leaves of  Camellia sinensis  by the microorganisms,  Aspergillus  and  Lactobacillus. ",,SKIN CONDITIONING,4251500%
8662900%,ASPERGILLUS/LACTOBACILLUS/GINGER ROOT/RICE FERMENT FILTRATE,,, -, -,"Aspergillus/Lactobacillus/Ginger Root/Rice Ferment Filtrate is a filtrate of the product obtained by the fermentation of Oryza sativa (rice) and Zingiber Officinale (Ginger) Root by the microorganisms, Aspergillus and Lactobacillus",,SKIN CONDITIONING,4046600%
8536000%,ASPERGILLUS/LACTOBACILLUS/LEUCONOSTOC/PEDIOCOCCUS/SACCHAROMYCES/ZYGOSACCHAROMYCES/CITRUS UNSHIU FRUIT/CITRUS JAPONICA FRUIT/CITRUS JUNOS FRUIT/APPLE FRUIT/BANANA FRUIT/PAPAYA FRUIT/PYRUS PYRIFOLIA FRUIT/DIOSPYROS KAKI FRUIT/WATERMELON FRUIT/PEACH FRUIT/PRUNUS MUME FRUIT/FIG FRUIT/CHAENOMELES SINENSIS FRUIT/ERIOBOTRYA JAPONICA FRUIT/APRICOT FRUIT/ZIZYPHUS JUJUBA FRUIT/CUCURBITA MAXIMA FRUIT/CASTANEA CRENATA FRUIT/VITIS COIGNETIAE FRUIT/LYCIUM CHINENSE FRUIT/RASPBERRY FRUIT/MOMORDICA GROSVENORII FRUIT/SOYBEAN SEED/PHASEOLUS ANGULARIS SEED/CANAVALIA ENSIFORMIS SEED/RICE SEED/HORDEUM VULGARE SEED/COIX LACRYMA-JOBI MA-YUEN SEED/ ECHINOCHLOA CRUS-GALLI SEED/SETARIA ITALICA SEED/MILLET SEED/HEMEROCALLIS FULVA FLOWER/CABBAGE LEAF/STEM/MORUS BOMBYCIS LEAF/PERILLA FRUTESCENS LEAF/IPOMOEA BATATAS ROOT/COLOCASIA ANTIQUORUM TUBER/DIOSCOREA BATATAS RHIZOME/IRIDEA LAMINARIOIDES/LAMINARIA JAPONICA/NEMACYSTUS DECIPIENS/UNDARIA PINNATIFIDA/RADISH ROOT/TURNIP ROOT/CARROT ROOT/ARCTIUM LAPPA ROOT/NELUMBO NUCIFERA RHIZOME/ONION BULB/LILIUM AURATUM BULB/LICORICE ROOT/SAGITTARIA TRIFOLIA ROOT/SESAME SEED/GINKGO BILOBA SEED/JUGLANS SUBCORDIFORMIS FRUIT/PANAX GINSENG SEED/ACTINIDIA POLYGAMA FRUIT/HYDNUM ERINACEUM FRUITING BODY/GRIFOLA FRONDOSA FRUITING BODY/LENTINUS EDODES FRUITING BODY/ARTEMISIA PRINCEPS/HOUTTUYNIA CORDATA/VITIS LABRUSCA FRUIT/HELIANTHUS TUBEROSUS TUBER FERMENT EXTRACT ,,, -, -,"This is the extract of the product obtained by the fermentation of the fruits of Citrus unshiu, Citrus japonica, Citrus junos, Pyrus malus, Musa sapientum, Carica papaya, Pyrus pyrifolia, Diospyros kaki, Citrullus vulgaris, Prunus persica, Prunus mume, Ficus carica, Chaenomeles sinensis, Eriobotrya japonica, Prunus armeniaca, Zizyphus jujuba, Cucurbita maxima, Castanea crenata, Vitis coignetiae, Rubus idaeus, Momordica grosvenorii, Ginkgo biloba, Juglans subcordiformis, Actinidia polygama , the seeds of Lycium chinense, Glycine max, Phaseolus angularis, Canavalia ensiformis, Oryza sativa japonica, Oryza sativa javanica, Hordeum vulgare, Coix lacryma-jobi ma-yuen, Crus-galli, Setaria italica, Panicum miliaceum, Sesamum indicum , the leaves of Brassica oleracea, Morus bombycis, Perilla frutescens , the alga Iridea laminarioides, Laminaria japonica, Nemacystus decipiens, Undaria pinnatifida , the roots of Raphanus sativus, Brassica rapa, Daucus carota, Arctium lappa, Nelumbo nucifera, Lilium auratum, Glycyrrhiza glabra, Sagittaria trifolia, Panax ginseng , the fruiting bodies of Hydnum erinaceum, Grifola frondosa, Lentinus edodes , and the whole plant, Houttuynia cordata by the microorganisms, Aspergillus, Lactobacillus, Pediococcus and Saccharomyces",,SKIN CONDITIONING,4046600%
8748700%,ASPERGILLUS/LACTOBACILLUS/LEUCONOSTOC/PEDIOCOCCUS/SACCHAROMYCES/ZYGOSACCHAROMYCES/HORDEUM VULGARE SEED/SOYBEAN SEED/RICE SEED/PHASEOLUS ANGULARIS SEED/CANAVALIA GLADIATA SEED/COIX LACHRYMA-JOBI MA-YUEN SEED/ECHINOCHLOA UTILIS SEED/SETARIA ITALICA SEED/MILLET SEED/VITIS LABRUSCA FRUIT/APPLE FRUIT/CITRUS UNSHIU FRUIT/VITIS COIGNETIAE FRUIT/MUSA SAPIENTUM FRUIT/PEACH FRUIT/PRUNUS MUME FRUIT/PYRUS PYRIFOLIA FRUIT/FIG FRUIT/WATERMELON FRUIT/CUCURBITA MAXIMA FRUIT/DIOSPYROS KAKI FRUIT/PAPAYA FRUIT/APRICOT FRUIT/FORTUNELLA CRASSIFOLIA FRUIT/CHAENOMELES SINENSIS FRUIT/RUBUS IDAEUS FRUIT/CASTANEA CRENATA FRUIT/ERIOBOTRYA JAPONICA FRUIT/LYCIUM CHINENSE FRUIT/ZIZYPHUS JUJUBA FRUIT/CITRUS JUNOS FRUIT/MOMORDICA GROSVENORII FRUIT/PANAX GINSENG FRUIT/CABBAGE LEAF/STEM/PERILLA OCYMOIDES LEAF/MORUS BOMBYCIS LEAF/HOUTTUYNIA CORDATA/ARTEMISIA PRINCEPS/HEMEROCALLIS FULVA KWANSO FLOWER/IPOMOEA BATATAS ROOT/HELIANTHUS TUBEROSUS TUBER/CARROT ROOT/RADISH ROOT/NELUMBO NUCIFERA RHIZOME/ONION BULB/TURNIP ROOT/ARCTIUM LAPPA ROOT/LILIUM AURATUM BULB/COLOCASIA ESCULENTA TUBER/DIOSCOREA JAPONICA RHIZOME/SAGITTARIA TRIFOLIA EDULIS TUBER/GLYCYRRHIZA GLABRA ROOT/RHODOGLOSSUM PULCHERUM LEAF/LAMINARIA JAPONICA LEAF/UNDARIA PINNATIFIDA LEAF/NEMACYSTUS DECIPIENS/JUGLANS SIEBOLDIANA SEED/GINKGO BILOBA SEED/ACTINIDIA POLYGAMA FRUIT/SESAME SEED/HERICIUM ERINACEUM FRUITING BODY/GRIFOLA FRONDOSA FRUITING BODY/LENTINUS EDODES FRUITING BODY FERMENT EXTRACT ,,, -, -,"This is the filtrate of an extract of the product obtained by the fermentation of the seeds of Hordeum vulgare, Glycine max (soybean), Oryza sativa (rice), Canavalia gladiata, Phaseolus angularis, Coix-lacryma-Jobi Ma-yuen, Echinochloa utilis, Setaria italica, Panicum miliaceum (Millet), Sesamum indicum (sesame), Juglans sieboldiana and Ginkgo biloba; the fruits of Citrus unshiu, Vitis labrusca, Pyrus malus (apple), Vitis coignetiae, Musa sapientum, Prunus persica (peach), Diospyros kaki, Carica papaya (papaya), Pyrus pyrifolia, Citrullus vulgaris (watermelon), Prunus mume, Ficus carica (fig), Chaenomeles sinensis, Cucurbita maxima, Rubus idaeus, Castanea crenata, Fortunella crassifolia, Citrus junos, Eriobotrya japonica, Actinidia polygama, Prunus armeniaca (apricot), Zizyphus jujuba, Lycium chinense, Momordica grosvenorii, and Panax ginseng; the roots of Ipomoea batatas, Arctium lappa, Daucus carota (carrot), Raphanus sativus (radish), Brassica rapa (turnip), and Glycyrrhiza glabra; the tubers of Helianthus tuberosus, Colocasia esculenta and Saggitaria trifolia edulis; the bulbs of Allium cepa (onion), and Lilium auratum; the rhizomes of Dioscorea japonica, and Nelumbo nucifera; the leaves of Brassica oleracea capitata (cabbage), Perilla ocymoides, Morus bombycis, Laminaria japonica, Undaria pinnatifida and Rhodoglossum pulcherum; the flowers of Hemerocallis fulva kwanso; the whole plants Houttuynia cordata, Artemisia princeps, Nemacystus decipiens; and the fruiting bodies of Grifola fondosa, Hericium Erinaceum and Lentinus edodes, by the microorganisms Aspergillus, Lactobacillus, Leuconostoc, Pediococcus, Saccharomyces and Zygosaccharomyces",,SKIN CONDITIONING,4046600%
9740200%,ASPERGILLUS/LACTOBACILLUS/RICE SEED EXTRACT FERMENT FILTRATE,,, , ,Aspergillus/Lactobacillus/Rice Seed Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of Oryza sativa by the microorganisms Aspergillus and Lactobacillus.,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4374900%
9796900%,ASPERGILLUS/LACTOBACILLUS/RICE SEED FERMENT FILTRATE,,, , ,Aspergillus/Lactobacillus/Rice Seed Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of Oryza sativa by the microorganisms Aspergillus and Lactobacillus. ,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4395100%
8987900%,ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/(SOYBEAN/OENOTHERA GLAZIOVIANA/RADISH/BROCCOLI/CAULIFLOWER/RICE/HORDEUM VULGARE/COIX LACRYMA-JOBI/ACHILLEA MILLEFOLIUM/SESAME/SAGE/THYME/HYPERICUM PERFORATUM/TRIFOLIUM PRATENSE/MEDICAGO SATIVA/TRIGONELLA FOENUM-GRAECUM) SPROUT FERMENT FILTRATE EXTRACT,,, , ,"Aspergillus/Lactobacillus/Saccharomyces/(Soybean/Oenothera Glazioviana/Radish/Broccoli/Cauliflower/Rice/Hordeum Vulgare/Coix Lacryma-Jobi/Achillea Millefolium/Sesame/Sage/Thyme/Hypericum Perforatum/Trifolium Pratense (Clover)/Medicago Sativa/Trigonella Foenum-Graecum) Sprout Ferment Filtrate Extract is the extract of a filtrate of the product obtained by the fermentation of the sprouts of Glycine max (soybean), Oenothera glazioviana , Raphanus sativus var. sativus (radish), Brassica oleracea italica (broccoli), Brassica oleracea botyris (cauliflower), Oryza sativa (rice), Hordeum vulgare, Coix lacryma-jobi, Achillea millefolium, Sesamum indicum (sesame), Salvia officinalis (sage), Thymus vulgaris (thyme), Hypericum perforatum, Trifolium pratense (clover), Medicago sativa, and Trigonella foenum-graecum by the microorgansims, Aspergillus, Lactobacillus , and Saccharomyces. ",,SKIN CONDITIONING,4325900%
