COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
8911000%,NELUMBO NUCIFERA GERM/(BRASSICA NAPUS/RHYNCHOSIA NULUBILIS/HORDEUM VULGARE/PERILLA OCYMOIDES/POLYGONUM FAGOPYRUM/TRITICUM VULGARE) SPROUT EXTRACT,,, , ,"Nelumbo Nucifera Germ/Brassica Napus/(Glycine Soja/Hordeum Vulgare/Perilla Ocymoides/Polygonum Fagopyrum/Triticum Vulgare)Sprout Extract is the extract of the sprouts of Triticum vulgare, Polygonum fagopyrum, Brassica napus, Perilla ocymoides, Glycine soja, Hordeum vulgare and the germ of Nelumbo nucifera. 
",,SKIN CONDITIONING,4304700%
8911100%,NELUMBO NUCIFERA GERM/SPROUT EXTRACT,,, , ,"Nelumbo Nucifera Germ/(Brassica Napus/Glycine Soja/Hordeum Vulgare/Perilla Ocymoides/Polygonum Fagopyrum/Triticum Vulgare) Sprout Extract is the extract of the sprouts of Triticum vulgare, Polygonum fagopyrum, Brassica napus, Perilla ocymoides, Glycine soja, Hordeum vulgare and the germ of Nelumbo nucifera. 
",,,4110800%
8418100%,NELUMBO NUCIFERA LEAF CELL CULTURE POWDER,,, 85085-51-4 , 285-379-2 ,"Nelumbo Nucifera Leaf Cell Culture Powder is the powder obtained from the dried suspension of the cultured leaf cells of Nelumbo nucifera, Nymphaeaceae ",,SKIN PROTECTING,4046600%
8863300%,NELUMBO NUCIFERA LEAF CELL EXTRACT,,, 85085-51-4 , 285-379-2 ,"Nelumbo Nucifera Leaf Cell Extract is the extract obtained from the leaves of Nelumbo nucifera, Nymphaeaceae  
",,SKIN PROTECTING,4087900%
8358900%,NELUMBO NUCIFERA LEAF EXTRACT,,, 85085-51-4 , 285-379-2 ,"Nelumbo Nucifera Leaf Extract is the extract of the leaves of Nelumbo nucifera, Nymphaeaceae ",,SKIN CONDITIONING,4046600%
9552600%,NELUMBO NUCIFERA LEAF/OROSTACHYS JAPONICA EXTRACT,,, , ,"Nelumbo Nucifera Leaf/Orostachys Japonica Extract is the extract of the leaves of Nelumbo nucifera and the whole plant, Orostachys japonica, Crassulaceae.",,"HUMECTANT, SKIN CONDITIONING",4313800%
9552300%,NELUMBO NUCIFERA LEAF/OROSTACHYS JAPONICA/SAURURUS CHINENSIS EXTRACT,,, , ,"Nelumbo Nucifera Leaf/Orostachys Japonica/Saururus Chinensis Extract is the extract of the leaves of Nelumbo nucifera, and the whole plants, Orostachys japonica and Saururus chinensis.",,"HUMECTANT, SKIN CONDITIONING",4313800%
9552400%,NELUMBO NUCIFERA LEAF/SAURURUS CHINENSIS EXTRACT,,, , ,"Nelumbo Nucifera Leaf/Saururus Chinensis Extract is the extract of the leaves of Nelumbo nucifera and the whole plant, Saururus chinensis.",,"HUMECTANT, SKIN CONDITIONING",4313800%
9705800%,NELUMBO NUCIFERA MERISTEM CELL CULTURE CONDITIONED MEDIA,,, , ,"Nelumbo Nucifera Meristem Cell Culture Conditioned Media is the growth media removed from cultures of meristem cells isolated from Nelumbo nucifera,  Nelumbonaceae, after several days of growth.",,HUMECTANT,4358000%
9032800%,NELUMBO NUCIFERA PHYTOPLACENTA CULTURE EXTRACT,,, , ,"Nelumbo Nucifera Phytoplacenta Culture Extract is the extract of a culture of the phytoplacenta of Nelumbo nucifera, Nelumbonaceae.",,"ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT",4164800%
9081900%,NELUMBO NUCIFERA PHYTOPLACENTA EXTRACT,,, , ,"Nelumbo Nucifera Phytoplacenta Extract is the extract of the phytoplacenta cells isolated from the plant, Nelumbo nucifera or grown in culture, Nelumbonaceae.",,SKIN CONDITIONING,4164800%
5733200%,NELUMBO NUCIFERA ROOT EXTRACT,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Root Extract is an extract of the roots of Nelumbo nucifera, Nymphaeaceae",,SKIN CONDITIONING,4046600%
8319400%,NELUMBO NUCIFERA ROOT POWDER,,, 85085-51-4 , 285-379-2 ,"Nelumbo Nucifera Root Powder is the powder obtained form the dried, ground roots of Nelumbo nucifera, Nymphaeaceae ",,SKIN CONDITIONING,4046600%
5733300%,NELUMBO NUCIFERA ROOT WATER,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Root Water is the aqueous part of the steam distillate obtained from the roots of Nelumbo nucifera, Nymphaeaceae",,TONIC,4046600%
8226100%,NELUMBO NUCIFERA SEED EXTRACT,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Seed Extract is an extract obtained from the seeds of the East Indian Lotus, Nelumbo nucifera, Nymphaeaceae",,"ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING",4046600%
9310800%,NELUMBO NUCIFERA SEED OIL,,, 85085-51-4, 285-379-2 (I),"Nelumbo Nucifera Seed Oil is the oil expressed from the seeds of  Nelumbo nucifera, Nelumbonaceae.",,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4230000%
5733400%,NELUMBO NUCIFERA SEED POWDER,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Seed Powder is the powder obtained from the dried, ground seeds of the lotus Nelumbo nucifera, Nymphaeaceae",,SKIN CONDITIONING,4046600%
8257900%,NELUMBO NUCIFERA STAMEN EXTRACT,,, 85085-51-4, 285-379-2 ,"Nelumbo Nucifera Stamen Extract is the extract of the stamens of Nelumbo nucifera, Nymphaeaceae ",,"ANTISTATIC, SKIN PROTECTING",4046600%
8820100%,NELUMBO NUCIFERA STEM EXTRACT,,, 85085-51-4 , 285-379-2 ,"Nelumbo Nucifera Stem Extract is the extract of the stems of Nelumbo nucifera, Nymphaeaceae ",,"ANTIOXIDANT, SKIN CONDITIONING",4088300%
9621900%,NEMACYSTUS DECIPIENS POWDER,,, , ,"Nemacystus Decipiens Powder is the powder obtained from the dried, ground algae Nemacystus decipiens.",,"HUMECTANT, SKIN PROTECTING",4320800%
9429800%,NEMATODE RH-POLYPEPTIDE-47,,, , ,Transgenic Nematode rh-Polypeptide-47,II/416,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4260000%
9518500%,NEOCHEIROPTERIS ENSATA EXTRACT,,, , ,"Neocheiropteris Ensata Extract is the extract of the whole plant, Neocheiropteris ensata, Polypodiaceae. ",,ANTIOXIDANT,4313800%
8734700%,NEOCHLORIS OLEOABUNDANS EXTRACT,,, -, -,"Neochloris Oleoabundans Extract is the extract of the whole alga, Neochloris oleoabundans",,SKIN CONDITIONING,4046600%
8705100%,NEOFINETIA FALCATA CALLUS CULTURE EXTRACT,,, -, -,"Neofinetia Falcata Callus Culture Extract is the extract of a culture of the callus cells of Neofinetia falcata, Orchidaceae",,SKIN CONDITIONING,4046600%
5733500%,NEOHESPERIDIN,,, 13241-33-3, 236-216-9,"(S)-7-[[2-O-6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2,3-dihydro-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one",,SKIN CONDITIONING,4046600%
8506400%,NEOHESPERIDIN DIHYDROCHALCONE,,, 20702-77-6, 243-978-6,"1-[4-[[2-O-(6-deoxy-α-L-mannopyranosyl)-β-D-glucopyranosyl]oxy]-2,6-dihydroxyphenyl]-3-(3-hydroxy-4-methoxyphenyl)propan-1-one",,"FLAVOURING, FRAGRANCE, PERFUMING",4046600%
9810400%,NEOLENTINUS LEPIDEUS/STACHYS JAPONICA ROOT EXTRACT FERMENT FILTRATE,,, , ,Neolentinus Lepideus/Stachys Japonica Root Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of the extract of the roots of Stachys japonica by the microorganism Neolentinus lepideus. ,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4401900%
9486600%,NEOLENTINUS LEPIDEUS/STACHYS RIEDERI ROOT EXTRACT FERMENT FILTRATE,,, , ,"Neolentinus Lepideus/Stachys Riederi Root Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of the roots of Stachys riederi by the microorganism, Neolentinus lepideus.",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4313800%
9531600%,NEOLEPISORUS FORTUNEI RHIZOME EXTRACT,,, , ," Neolepisorus Fortunei Rhizome Extract is the extract of the rhizomes of Neolepisorus Fortunei, Polypodiaceae . ",,SKIN CONDITIONING,4313800%
9532600%,NEOLEPISORUS FORTUNEI ROOT EXTRACT,,, , ," Neolepisorus Fortunei Root Extract is the extract of the roots of Neolepisorus fortunei, Polypodiaceae. ",,SKIN CONDITIONING,4313800%
9208600%,NEOLITSEA ACICULATA STEM EXTRACT,,, , ,"Neolitsea Aciculata Stem Extract is the extract of the stems of Neolitsea aciculata, Lauraceae.",,"ANTIOXIDANT, SKIN CONDITIONING",4194000%
4087000%,NEOMENTHOL,,, 3623-51-6, 222-824-1,"(1R, 2R, 5S)-rel-5-Methyl-2-(1-methylethyl)-cyclohexanol; (+-)-Neomenthol",,PERFUMING,4060400%
4087100%,NEOPENTANAL BUTENYLENEGLYCOL ACETAL,,, 53338-06-0, 258-488-8,"2-sec-Butyl-4,7-dihydro-1,3-dioxepin; 1,4-O-Neopentylidene-2-butene-1,4-diol",,PERFUMING,4060400%
5733700%,NEOPENTYL GLYCOL,,, 126-30-7, 204-781-0,"2,2-Dimethyl-1,3-propanediol",,"PLASTICISER, SOLVENT",4046600%
3548700%,NEOPENTYL GLYCOL DICAPRATE,,, 27841-06-1, 248-688-3,"2,2-Dimethyl-1,3-propanediyl didecanoate",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
3548800%,NEOPENTYL GLYCOL DICAPRYLATE/DICAPRATE,,, 70693-32-2, 274-764-0,"Decanoic acid, mixed esters with neopentyl glycol and octanoic acid",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
3548900%,NEOPENTYL GLYCOL DICAPRYLATE/DIPELARGONATE/DICAPRATE,,, , ,"Fatty acids, C8-10, diesters with 2,2-dimethyl-1,3-propanediol",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
7734000%,NEOPENTYL GLYCOL DIETHYLHEXANOATE,,, 28510-23-8, 250-575-9,"2,2-Dimethyl-1,3-propanediyl diethylhexanoate",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
5733800%,NEOPENTYL GLYCOL DIHEPTANOATE,,, 27841-04-9 (1)/ 85711-80-4 (generic)/ 68855-18-5 (3), 288-342-9 1I)/ 272-469-1 (2),"2,2-Dimethyl-1,3-propanediyl diheptanoate",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4389300%
8369400%,NEOPENTYL GLYCOL DIISONONANOATE,,, -, -,,,SKIN CONDITIONING - EMOLLIENT,4046600%
7734100%,NEOPENTYL GLYCOL DIISOSTEARATE,,, 109884-54-0, ,"Isooctadecanoic acid, 2,2-dimethyl-1,3-propanediyl ester",,"SKIN CONDITIONING, SURFACTANT - EMULSIFYING",4046600%
7734200%,NEOPENTYL GLYCOL DILAURATE,,, 10525-39-0, 234-081-0,"Dodecanoic acid, 2,2-dimethyl-1,3-propanediyl ester",,"SKIN CONDITIONING, SURFACTANT - EMULSIFYING",4046600%
8411200%,NEOPENTYL GLYCOL DIMETHACRYLATE,,, 1985-51-9, 217-856-8,"2-Propenoic Acid, 2-Methyl, 2,2-Dimethyl-1,3-Propanediyl Ester; 2,2-dimethyl-1,3-propanediyl bismethacrylate ",,NAIL CONDITIONING,4046600%
9512000%,NEOPENTYL GLYCOL DIPELARGONATE,,, 15834-05-6, 239-938-2,"Nonanoic acid, 1,1'-(2,2-dimethyl-1,3-propanediyl) ester",,"PLASTICISER, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SOLVENT",4322000%
9862100%,NEOPICRORHIZA SCROPHULARIIFLORA ROOT EXTRACT,,, , ,Neopicrorhiza Scrophulariiflora Root Extract,,HAIR CONDITIONING,4411600%
3549300%,NEORUSCOGENIN,,, 17676-33-4, 241-660-1,"Spirosta-5,25(27)-diene-1.beta.,3.beta.-diol",,SKIN CONDITIONING,4046600%
9765700%,NEOSAXITOXIN,,, 64296-20-4 , 809-831-0,"1H,10H-Pyrrolo[1,2-c]purine-10,10-diol, 2-amino-4-[[(aminocarbonyl)oxy]methyl]-3a,4,5,6,8,9-hexahydro-5-hydroxy-6- imino-, (3aS,4R,10aS)-",,"ANTIOXIDANT, ANTIPERSPIRANT, ASTRINGENT, COLORANT, SKIN PROTECTING",4376100%
5733900%,NEOTAME,,, 165450-17-9, ,"L-Phenylalanine, N-(3,3-dimethylbutyl)-L-alpha-aspartyl-, 2-methyl ester",,FRAGRANCE,4046600%
9532000%,NEPENTHES MIRABILIS PITCHER EXTRACT,,, , ,"Nepenthes Mirabilis Pitcher Extract is the extract of the pitcher, of Nepenthes mirabilis, Nepenthaceae. ",,"HUMECTANT, SKIN CONDITIONING",4313800%
5734000%,NEPETA CATARIA,,, 84929-35-1, 284-520-5,"Nepeta Cataria is the product obtained from the dried, cut plant material from the Catnip, Nepeta cataria L., Labiatae",,TONIC,4046600%
3549400%,NEPETA CATARIA EXTRACT,,, 84929-35-1, 284-520-5,"Nepeta Cataria Extract is an extract of the herb of the Catnip, Nepeta cataria L., Labiatae",,TONIC,4046600%
4087200%,NEPETA CATARIA FLOWER EXTRACT,,, 84929-35-1, 284-520-5,"Nepeta Cataria Flower Extract is an extract obtained from the flowers of the Catnip, Nepeta cataria L., Labiatae",,PERFUMING,4060400%
8243500%,NEPETA CATARIA OIL,,, 84929-35-1, 284-520-5,"Nepeta Cataria Oil is the volatile oil obtained from the whole plant of the Catnip, Nepeta cataria L., Labiatae",,"FRAGRANCE, PERFUMING",4046600%
9813400%,NEPETA CATARIA WATER,,, , ,Nepeta Cataria Water is an aqueous solution of the steam distillate obtained from the whole plant Nepeta cataria. ,,SKIN CONDITIONING,4401900%
9513900%,NEPETA SIBIRICA FLOWER/LEAF/STEM EXTRACT,,, , ,"Nepeta Sibirica Flower/Leaf/Stem Extract is the extract of the flowers, leaves and stems of Nepeta sibirica, Lamiaceae. ",,"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING",4313800%
